opponents, date, year, regularSeason?, score1-score2, location(A), pace1, tSP1, eFG1, 3PA1, FTR1, ORR1, DRR1, TRR1, ASP1, STLP1, BLK1, TOR1, OEff1, DEF, pace2, tSP2, eFG2, 3PA2, FTR2, ORR2, DRR2, TRR2, ASP2, STLP2, BLK2, TOR2, OEff2
%http://www.basketball-reference.com/boxscores/201812090NYK.html
Charlotte Hornets at New York Knicks, December 9, 2018,regularSeason,119-107,A,102.8,0.6020,0.5520,0.3910,0.2644,15.4000,81.8000,50.6000,45.2000,10.7000,6.0000,10.8000,115.7000,MAN,102.8,0.5570,0.5430,0.2800,0.0645,18.2000,84.6000,49.4000,63.6000,4.9000,3.8000,15.0000,104.1000
%http://www.basketball-reference.com/boxscores/201812090SAS.html
Utah Jazz at San Antonio Spurs, December 9, 2018,regularSeason,97-110,A,94.8,0.5190,0.4880,0.3410,0.1647,20.0000,74.4000,45.2000,62.2000,8.4000,5.3000,13.0000,102.3000,MAN,94.8,0.5830,0.5560,0.1570,0.1236,25.6000,80.0000,54.8000,55.3000,7.4000,12.5000,10.4000,116.0000
%http://www.basketball-reference.com/boxscores/201812090TOR.html
Milwaukee Bucks at Toronto Raptors, December 9, 2018,regularSeason,104-99,A,94.3,0.5430,0.5000,0.4480,0.1954,20.9000,76.6000,50.0000,61.1000,6.4000,14.0000,10.3000,110.3000,MAN,94.3,0.5100,0.4950,0.4680,0.0638,23.4000,79.1000,50.0000,61.5000,6.4000,22.9000,10.2000,105.0000
%http://www.basketball-reference.com/boxscores/201812100BOS.html
New Orleans Pelicans at Boston Celtics, December 10, 2018,regularSeason,100-113,A,98.2,0.5240,0.4940,0.2990,0.1609,14.0000,70.2000,43.3000,71.8000,11.2000,2.0000,12.0000,101.8000,MAN,98.2,0.5740,0.5560,0.4330,0.1444,29.8000,86.0000,56.7000,52.3000,8.1000,8.2000,11.7000,115.1000
%http://www.basketball-reference.com/boxscores/201812100CHI.html
Sacramento Kings at Chicago Bulls, December 10, 2018,regularSeason,108-89,A,99.1,0.5710,0.5450,0.4200,0.1364,23.3000,82.1000,51.2000,70.0000,16.1000,8.3000,14.5000,109.0000,MAN,99.1,0.5450,0.5000,0.3680,0.1711,17.9000,76.7000,48.8000,47.1000,10.1000,5.9000,24.8000,89.8000
%http://www.basketball-reference.com/boxscores/201812100DAL.html
Orlando Magic at Dallas Mavericks, December 10, 2018,regularSeason,76-101,A,95.6,0.4170,0.4040,0.3150,0.0449,14.0000,79.5000,44.7000,56.3000,8.4000,4.3000,14.1000,79.5000,MAN,95.6,0.5430,0.4880,0.4270,0.2561,20.5000,86.0000,55.3000,80.0000,7.3000,6.6000,11.4000,105.7000
%http://www.basketball-reference.com/boxscores/201812100DEN.html
Memphis Grizzlies at Denver Nuggets, December 10, 2018,regularSeason,99-105,A,87.9,0.6080,0.5610,0.3650,0.2162,17.1000,71.8000,45.9000,59.5000,8.0000,8.2000,14.7000,112.7000,MAN,87.9,0.6030,0.5650,0.3640,0.2338,28.2000,82.9000,54.1000,56.4000,12.5000,12.8000,13.0000,119.5000
%http://www.basketball-reference.com/boxscores/201812100GSW.html
Minnesota Timberwolves at Golden State Warriors, December 10, 2018,regularSeason,108-116,A,100.9,0.5590,0.5000,0.3010,0.3012,20.5000,70.2000,46.2000,73.7000,5.0000,12.0000,14.2000,107.1000,MAN,100.9,0.5670,0.5220,0.4620,0.2043,29.8000,79.5000,53.8000,64.1000,5.9000,8.6000,13.5000,115.0000
%http://www.basketball-reference.com/boxscores/201812100IND.html
Washington Wizards at Indiana Pacers, December 10, 2018,regularSeason,101-109,A,101.6,0.5120,0.4770,0.3410,0.1932,12.2000,80.0000,40.5000,59.5000,12.8000,5.4000,10.9000,99.4000,MAN,101.6,0.6360,0.6050,0.2630,0.2237,20.0000,87.8000,59.5000,70.7000,6.9000,12.1000,21.2000,107.3000
%http://www.basketball-reference.com/boxscores/201812100LAL.html
Miami Heat at Los Angeles Lakers, December 10, 2018,regularSeason,105-108,A,98.4,0.5260,0.5050,0.3620,0.1064,29.2000,75.0000,52.1000,69.0000,9.1000,12.1000,14.6000,106.7000,MAN,98.4,0.5470,0.5330,0.3560,0.1333,25.0000,70.8000,47.9000,58.5000,9.1000,11.7000,10.8000,109.7000
%http://www.basketball-reference.com/boxscores/201812100MIL.html
Cleveland Cavaliers at Milwaukee Bucks, December 10, 2018,regularSeason,92-108,A,101.0,0.4480,0.4270,0.3130,0.1042,14.8000,76.0000,44.2000,66.7000,4.9000,3.3000,8.1000,91.1000,MAN,101.0,0.5360,0.5160,0.3750,0.0938,24.0000,85.2000,55.8000,52.4000,4.0000,6.1000,12.2000,106.9000
%http://www.basketball-reference.com/boxscores/201812100OKC.html
Utah Jazz at Oklahoma City Thunder, December 10, 2018,regularSeason,113-122,A,105.2,0.5810,0.5600,0.3450,0.2262,26.2000,73.9000,51.1000,69.8000,10.5000,6.3000,17.1000,107.4000,MAN,105.2,0.5970,0.5530,0.2470,0.3294,26.1000,73.8000,48.9000,58.1000,11.4000,3.6000,14.3000,116.0000
%http://www.basketball-reference.com/boxscores/201812100PHI.html
Detroit Pistons at Philadelphia 76ers, December 10, 2018,regularSeason,102-116,A,97.7,0.5470,0.5420,0.2500,0.1310,23.8000,69.2000,48.9000,56.1000,5.1000,9.8000,13.9000,104.4000,MAN,97.7,0.5610,0.5280,0.4200,0.2614,30.8000,76.2000,51.1000,69.2000,9.2000,7.9000,11.2000,118.8000
%http://www.basketball-reference.com/boxscores/201812100PHO.html
Los Angeles Clippers at Phoenix Suns, December 10, 2018,regularSeason,123-119,A,95.3,0.6180,0.5710,0.2470,0.3059,25.0000,76.2000,51.2000,60.0000,7.6000,5.8000,15.3000,116.9000,MAN,95.3,0.5790,0.5480,0.2660,0.1702,23.8000,75.0000,48.8000,66.0000,13.3000,12.5000,12.7000,113.1000
%http://www.basketball-reference.com/boxscores/201812110HOU.html
Portland Trail Blazers at Houston Rockets, December 11, 2018,regularSeason,104-111,A,91.8,0.5400,0.4940,0.2870,0.2069,30.2000,72.1000,51.2000,52.6000,1.1000,7.1000,12.7000,113.3000,MAN,91.8,0.5730,0.5470,0.3410,0.2118,27.9000,69.8000,48.8000,52.4000,9.8000,8.1000,6.7000,121.0000
%http://www.basketball-reference.com/boxscores/201812110LAC.html
Toronto Raptors at Los Angeles Clippers, December 11, 2018,regularSeason,123-99,A,95.5,0.6070,0.5940,0.3020,0.0938,23.8000,73.3000,49.4000,68.0000,8.4000,9.8000,6.5000,128.8000,MAN,95.5,0.5250,0.4830,0.2910,0.1860,26.7000,76.2000,50.6000,65.8000,2.1000,7.5000,13.7000,103.7000
%http://www.basketball-reference.com/boxscores/201812110SAS.html
Phoenix Suns at San Antonio Spurs, December 11, 2018,regularSeason,86-111,A,96.0,0.4880,0.4510,0.3410,0.1463,17.4000,80.0000,46.5000,57.6000,7.3000,8.1000,16.2000,89.5000,MAN,96.0,0.6070,0.5720,0.2530,0.1928,20.0000,82.6000,53.5000,68.3000,7.3000,3.7000,14.1000,115.6000
%http://www.basketball-reference.com/boxscores/201812120CHO.html
Detroit Pistons at Charlotte Hornets, December 12, 2018,regularSeason,107-108,A,98.7,0.5620,0.5410,0.3950,0.1628,21.7000,86.7000,53.8000,57.5000,4.1000,17.5000,12.8000,108.4000,MAN,98.7,0.5330,0.4650,0.3290,0.3412,13.3000,78.3000,46.2000,60.0000,7.1000,9.6000,6.5000,109.4000
%http://www.basketball-reference.com/boxscores/201812120CLE.html
New York Knicks at Cleveland Cavaliers, December 12, 2018,regularSeason,106-113,A,99.5,0.5290,0.4950,0.2870,0.1383,18.8000,73.9000,45.7000,51.2000,7.0000,12.3000,10.7000,106.5000,MAN,99.5,0.5640,0.5270,0.3740,0.1868,26.1000,81.3000,54.3000,44.2000,7.0000,6.0000,10.7000,113.6000
%http://www.basketball-reference.com/boxscores/201812120DAL.html
Atlanta Hawks at Dallas Mavericks, December 12, 2018,regularSeason,107-114,A,101.3,0.5400,0.5220,0.3550,0.1075,33.3000,87.5000,55.0000,48.8000,6.9000,4.9000,17.5000,105.6000,MAN,101.3,0.6070,0.5470,0.4530,0.4267,12.5000,66.7000,45.0000,62.9000,12.8000,8.3000,13.0000,112.5000
%http://www.basketball-reference.com/boxscores/201812120GSW.html
Toronto Raptors at Golden State Warriors, December 12, 2018,regularSeason,113-93,A,99.6,0.5690,0.5330,0.3080,0.1758,22.2000,88.4000,54.5000,61.4000,12.0000,5.4000,10.0000,113.4000,MAN,99.6,0.5300,0.5120,0.3170,0.1098,11.6000,77.8000,45.5000,71.8000,5.0000,17.5000,17.8000,93.3000
%http://www.basketball-reference.com/boxscores/201812120IND.html
Milwaukee Bucks at Indiana Pacers, December 12, 2018,regularSeason,97-113,A,99.3,0.4970,0.4780,0.4730,0.1099,18.4000,70.8000,44.3000,57.9000,6.0000,9.8000,10.9000,97.7000,MAN,99.3,0.5660,0.5380,0.3300,0.1648,29.2000,81.6000,55.7000,72.1000,7.0000,8.3000,13.8000,113.8000
%http://www.basketball-reference.com/boxscores/201812120MEM.html
Portland Trail Blazers at Memphis Grizzlies, December 12, 2018,regularSeason,83-92,A,98.2,0.4410,0.4020,0.2530,0.1494,8.7000,81.6000,46.3000,46.9000,11.2000,15.5000,13.0000,84.5000,MAN,98.2,0.4970,0.4630,0.2930,0.1951,18.4000,91.3000,53.7000,55.9000,9.2000,15.4000,11.5000,93.7000
%http://www.basketball-reference.com/boxscores/201812120NOP.html
Oklahoma City Thunder at New Orleans Pelicans, December 12, 2018,regularSeason,114-118,A,106.3,0.5760,0.5570,0.4940,0.1954,18.8000,63.8000,41.1000,54.8000,9.4000,7.6000,15.4000,107.2000,MAN,106.3,0.5350,0.4850,0.1860,0.2474,36.2000,81.3000,58.9000,64.4000,13.2000,6.8000,13.4000,111.0000
%http://www.basketball-reference.com/boxscores/201812120PHI.html
Brooklyn Nets at Philadelphia 76ers, December 12, 2018,regularSeason,127-124,A,101.4,0.6830,0.6080,0.3780,0.5000,20.6000,75.0000,50.0000,52.6000,9.9000,1.6000,14.7000,125.3000,MAN,101.4,0.6320,0.6150,0.3080,0.1319,25.0000,79.4000,50.0000,62.0000,10.9000,6.5000,14.8000,122.3000
%http://www.basketball-reference.com/boxscores/201812120SAC.html
Minnesota Timberwolves at Sacramento Kings, December 12, 2018,regularSeason,130-141,A,100.3,0.6200,0.5860,0.2370,0.2258,29.3000,75.0000,50.6000,60.0000,4.0000,8.3000,9.5000,129.7000,MAN,100.3,0.7040,0.6920,0.4420,0.2558,25.0000,70.7000,49.4000,68.0000,3.0000,8.5000,9.1000,140.6000
%http://www.basketball-reference.com/boxscores/201812120UTA.html
Miami Heat at Utah Jazz, December 12, 2018,regularSeason,84-111,A,95.6,0.4800,0.4550,0.4290,0.1818,4.3000,80.0000,36.6000,55.2000,10.5000,4.5000,12.9000,87.9000,MAN,95.6,0.6510,0.6320,0.4210,0.1974,20.0000,95.7000,63.4000,72.5000,6.3000,9.1000,16.6000,116.2000
%http://www.basketball-reference.com/boxscores/201812120WAS.html
Boston Celtics at Washington Wizards, December 12, 2018,regularSeason,130-125,A,98.6,0.5650,0.5050,0.3650,0.2404,29.8000,81.8000,54.9000,42.6000,5.5000,3.4000,10.2000,119.4000,MAN,98.6,0.6020,0.5710,0.3630,0.2308,18.2000,70.2000,45.1000,54.3000,6.4000,6.1000,12.6000,114.8000
%http://www.basketball-reference.com/boxscores/201812130HOU.html
Los Angeles Lakers at Houston Rockets, December 13, 2018,regularSeason,111-126,A,94.0,0.6040,0.6000,0.4000,0.1875,20.0000,61.5000,41.9000,53.5000,9.6000,9.8000,11.6000,118.1000,MAN,94.0,0.6360,0.5820,0.4000,0.3176,38.5000,80.0000,58.1000,57.1000,8.5000,4.2000,11.6000,134.1000
%http://www.basketball-reference.com/boxscores/201812130ORL.html
Chicago Bulls at Orlando Magic, December 13, 2018,regularSeason,91-97,A,95.9,0.5700,0.5490,0.2540,0.1831,2.9000,78.0000,43.4000,52.9000,10.4000,8.2000,18.4000,94.9000,MAN,95.9,0.5260,0.4820,0.4020,0.2195,22.0000,97.1000,56.6000,67.6000,8.3000,11.3000,14.8000,101.1000
%http://www.basketball-reference.com/boxscores/201812130PHO.html
Dallas Mavericks at Phoenix Suns, December 13, 2018,regularSeason,89-99,A,97.9,0.4810,0.4290,0.4230,0.2821,33.3000,76.5000,57.0000,45.2000,7.2000,6.2000,19.9000,90.9000,MAN,97.9,0.4950,0.4570,0.2930,0.1630,23.5000,66.7000,43.0000,54.1000,15.3000,11.1000,11.5000,101.1000
%http://www.basketball-reference.com/boxscores/201812130SAS.html
Los Angeles Clippers at San Antonio Spurs, December 13, 2018,regularSeason,87-125,A,95.8,0.4600,0.4170,0.3690,0.2024,25.0000,78.4000,47.2000,70.0000,4.2000,1.6000,15.2000,90.8000,MAN,95.8,0.6680,0.6390,0.2650,0.2289,21.6000,75.0000,52.8000,52.1000,10.4000,13.2000,10.5000,130.4000
%http://www.basketball-reference.com/boxscores/201812140BOS.html
Atlanta Hawks at Boston Celtics, December 14, 2018,regularSeason,108-129,A,106.5,0.5400,0.5120,0.4420,0.2326,32.0000,68.3000,48.4000,75.0000,9.4000,8.9000,19.3000,101.4000,MAN,106.5,0.6210,0.5840,0.4110,0.1895,31.7000,68.0000,51.6000,60.9000,14.1000,18.8000,16.8000,121.1000
%http://www.basketball-reference.com/boxscores/201812140BRK.html
Washington Wizards at Brooklyn Nets, December 14, 2018,regularSeason,118-125,A,97.0,0.6080,0.6060,0.3220,0.1000,10.0000,71.0000,36.6000,61.2000,3.1000,5.7000,8.5000,121.7000,MAN,97.0,0.6400,0.5890,0.3690,0.3095,29.0000,90.0000,63.4000,77.3000,5.2000,4.9000,8.4000,128.9000
%http://www.basketball-reference.com/boxscores/201812140CHO.html
New York Knicks at Charlotte Hornets, December 14, 2018,regularSeason,126-124,A,100.3,0.5640,0.5410,0.3470,0.2041,17.6000,80.4000,47.4000,57.4000,9.9000,14.8000,8.2000,113.8000,MAN,100.3,0.5830,0.5690,0.4710,0.0784,19.6000,82.4000,52.6000,79.2000,6.3000,7.8000,13.1000,112.0000
%http://www.basketball-reference.com/boxscores/201812140CLE.html
Milwaukee Bucks at Cleveland Cavaliers, December 14, 2018,regularSeason,114-102,A,97.4,0.5360,0.4890,0.4360,0.2340,27.5000,75.0000,51.5000,65.0000,9.2000,11.8000,7.8000,117.0000,MAN,97.4,0.5300,0.4770,0.4140,0.2184,25.0000,72.5000,48.5000,68.6000,7.2000,3.8000,13.5000,104.7000
%http://www.basketball-reference.com/boxscores/201812140DEN.html
Oklahoma City Thunder at Denver Nuggets, December 14, 2018,regularSeason,98-109,A,94.7,0.4770,0.4500,0.2110,0.1889,34.5000,66.7000,47.3000,37.8000,9.5000,8.2000,11.2000,103.5000,MAN,94.7,0.6080,0.5720,0.4100,0.1687,33.3000,65.5000,52.7000,69.0000,8.4000,8.5000,18.2000,115.1000
%http://www.basketball-reference.com/boxscores/201812140MEM.html
Miami Heat at Memphis Grizzlies, December 14, 2018,regularSeason,100-97,A,88.0,0.5560,0.5300,0.4760,0.1585,36.8000,78.3000,59.5000,83.3000,3.4000,14.8000,15.1000,113.7000,MAN,88.0,0.5160,0.4700,0.3490,0.2289,21.7000,63.2000,40.5000,60.0000,10.2000,11.6000,6.9000,110.3000
%http://www.basketball-reference.com/boxscores/201812140PHI.html
Indiana Pacers at Philadelphia 76ers, December 14, 2018,regularSeason,113-101,A,97.0,0.5350,0.4840,0.2110,0.2211,25.6000,67.9000,49.0000,78.6000,7.2000,3.8000,6.2000,116.5000,MAN,97.0,0.5060,0.4600,0.4090,0.2273,32.1000,74.4000,51.0000,47.2000,5.2000,6.7000,13.8000,104.1000
%http://www.basketball-reference.com/boxscores/201812140POR.html
Toronto Raptors at Portland Trail Blazers, December 14, 2018,regularSeason,122-128,A,96.0,0.6990,0.6670,0.3970,0.2308,18.8000,72.1000,49.3000,46.5000,4.2000,6.0000,15.5000,127.1000,MAN,96.0,0.6200,0.5800,0.2870,0.2021,27.9000,81.3000,50.7000,60.4000,10.4000,8.5000,7.2000,133.3000
%http://www.basketball-reference.com/boxscores/201812140SAC.html
Golden State Warriors at Sacramento Kings, December 14, 2018,regularSeason,130-125,A,111.7,0.5810,0.5360,0.4170,0.2812,30.0000,86.5000,58.8000,72.7000,4.5000,0.0000,13.9000,116.4000,MAN,111.7,0.5840,0.5470,0.4580,0.2083,13.5000,70.0000,41.2000,73.3000,5.4000,5.4000,10.8000,111.9000
%http://www.basketball-reference.com/boxscores/201812150CHO.html
Los Angeles Lakers at Charlotte Hornets, December 15, 2018,regularSeason,128-100,A,106.0,0.6240,0.6090,0.3700,0.1739,25.6000,82.4000,57.8000,69.4000,11.3000,9.5000,12.8000,120.8000,MAN,106.0,0.5000,0.4620,0.3150,0.1630,17.6000,74.4000,42.2000,56.4000,2.8000,10.3000,15.3000,94.3000
%http://www.basketball-reference.com/boxscores/201812150DET.html
Boston Celtics at Detroit Pistons, December 15, 2018,regularSeason,104-113,A,102.3,0.4990,0.4630,0.3510,0.1809,24.0000,76.2000,47.8000,48.7000,10.8000,8.0000,11.9000,101.6000,MAN,102.3,0.5920,0.5500,0.3750,0.3125,23.8000,76.0000,52.2000,64.1000,9.8000,11.5000,15.9000,110.4000
%http://www.basketball-reference.com/boxscores/201812150MEM.html
Houston Rockets at Memphis Grizzlies, December 15, 2018,regularSeason,105-97,A,88.8,0.6250,0.5680,0.5070,0.3014,17.1000,83.3000,50.7000,65.7000,5.6000,3.8000,12.5000,118.3000,MAN,88.8,0.5880,0.5670,0.3070,0.1600,16.7000,82.9000,49.3000,50.0000,9.0000,16.7000,14.5000,109.2000
%http://www.basketball-reference.com/boxscores/201812150OKC.html
Los Angeles Clippers at Oklahoma City Thunder, December 15, 2018,regularSeason,104-110,A,102.1,0.6140,0.5930,0.3330,0.2000,16.2000,80.9000,52.4000,47.4000,6.9000,5.9000,23.5000,101.9000,MAN,102.1,0.5470,0.5170,0.2440,0.1889,19.1000,83.8000,47.6000,61.9000,12.7000,14.0000,9.9000,107.8000
%http://www.basketball-reference.com/boxscores/201812150ORL.html
Utah Jazz at Orlando Magic, December 15, 2018,regularSeason,89-96,A,97.2,0.4390,0.3540,0.3260,0.2921,20.0000,88.6000,46.7000,60.7000,13.4000,8.3000,9.0000,91.5000,MAN,97.2,0.5940,0.5490,0.3330,0.2361,11.4000,80.0000,53.3000,52.9000,7.2000,16.7000,21.4000,98.7000
%http://www.basketball-reference.com/boxscores/201812150PHO.html
Minnesota Timberwolves at Phoenix Suns, December 15, 2018,regularSeason,99-107,A,100.2,0.4740,0.4430,0.3650,0.1458,21.6000,73.2000,44.6000,66.7000,10.0000,6.5000,9.5000,98.8000,MAN,100.2,0.5410,0.5060,0.3110,0.1778,26.8000,78.4000,55.4000,73.2000,6.0000,11.5000,13.2000,106.8000
%http://www.basketball-reference.com/boxscores/201812150SAS.html
Chicago Bulls at San Antonio Spurs, December 15, 2018,regularSeason,98-93,A,91.0,0.5140,0.4650,0.3370,0.2093,19.0000,82.1000,49.4000,43.2000,13.2000,15.4000,6.8000,107.7000,MAN,91.0,0.5510,0.4860,0.2880,0.3014,17.9000,81.0000,50.6000,56.3000,3.3000,8.8000,15.1000,102.2000
%http://www.basketball-reference.com/boxscores/201812160BRK.html
Atlanta Hawks at Brooklyn Nets, December 16, 2018,regularSeason,127-144,A,101.2,0.6610,0.6350,0.3410,0.2235,21.6000,71.4000,45.8000,80.9000,8.9000,10.4000,12.7000,125.4000,MAN,101.2,0.7020,0.6480,0.4550,0.3409,28.6000,78.4000,54.2000,69.4000,11.9000,5.4000,11.3000,142.2000
%http://www.basketball-reference.com/boxscores/201812160CLE.html
Philadelphia 76ers at Cleveland Cavaliers, December 16, 2018,regularSeason,128-105,A,97.7,0.6410,0.6210,0.2970,0.1648,30.8000,85.7000,59.3000,62.7000,5.1000,15.5000,9.1000,131.0000,MAN,97.7,0.5500,0.5340,0.3410,0.1250,14.3000,69.2000,40.7000,68.3000,8.2000,0.0000,11.2000,107.4000
%http://www.basketball-reference.com/boxscores/201812160DAL.html
Sacramento Kings at Dallas Mavericks, December 16, 2018,regularSeason,120-113,A,103.3,0.5590,0.5150,0.3160,0.1939,22.9000,69.2000,47.0000,43.5000,5.8000,11.5000,7.7000,116.2000,MAN,103.3,0.5150,0.4640,0.3650,0.2500,30.8000,77.1000,53.0000,55.0000,5.8000,7.5000,11.3000,109.4000
%http://www.basketball-reference.com/boxscores/201812160DEN.html
Toronto Raptors at Denver Nuggets, December 16, 2018,regularSeason,86-95,A,88.7,0.4570,0.4380,0.3980,0.1023,27.7000,79.2000,53.7000,37.1000,5.6000,7.3000,10.5000,97.0000,MAN,88.7,0.5160,0.4820,0.3530,0.1529,20.8000,72.3000,46.3000,58.3000,7.9000,7.5000,8.0000,107.1000
%http://www.basketball-reference.com/boxscores/201812160IND.html
New York Knicks at Indiana Pacers, December 16, 2018,regularSeason,99-110,A,96.7,0.5020,0.4720,0.3600,0.1685,27.7000,73.8000,49.4000,56.8000,7.2000,1.9000,13.2000,102.4000,MAN,96.7,0.5660,0.5290,0.3910,0.2069,26.2000,72.3000,50.6000,70.0000,9.3000,7.0000,11.8000,113.7000
%http://www.basketball-reference.com/boxscores/201812160NOP.html
Miami Heat at New Orleans Pelicans, December 16, 2018,regularSeason,102-96,A,91.2,0.5040,0.4730,0.3850,0.1758,44.9000,76.1000,60.0000,57.9000,6.6000,8.0000,15.1000,111.8000,MAN,91.2,0.5130,0.4830,0.4190,0.1512,23.9000,55.1000,40.0000,74.3000,13.2000,8.9000,9.7000,105.2000
%http://www.basketball-reference.com/boxscores/201812160WAS.html
Los Angeles Lakers at Washington Wizards, December 16, 2018,regularSeason,110-128,A,110.7,0.5560,0.5440,0.3960,0.1209,18.2000,70.0000,45.7000,54.5000,9.0000,8.0000,18.2000,99.4000,MAN,110.7,0.5800,0.5710,0.2920,0.0660,30.0000,81.8000,54.3000,55.6000,12.6000,9.1000,13.3000,115.6000
%http://www.basketball-reference.com/boxscores/201812170DET.html
Milwaukee Bucks at Detroit Pistons, December 17, 2018,regularSeason,107-104,A,97.8,0.5660,0.5510,0.2840,0.1136,12.5000,76.2000,45.1000,75.0000,8.2000,18.9000,9.6000,109.4000,MAN,97.8,0.5500,0.5230,0.3980,0.1364,23.8000,87.5000,54.9000,64.1000,3.1000,3.2000,14.5000,106.3000
%http://www.basketball-reference.com/boxscores/201812170GSW.html
Memphis Grizzlies at Golden State Warriors, December 17, 2018,regularSeason,93-110,A,99.4,0.5350,0.5000,0.3160,0.1772,5.3000,86.7000,49.4000,66.7000,6.0000,7.4000,15.5000,93.6000,MAN,99.4,0.5680,0.5060,0.3650,0.2824,13.3000,94.7000,50.6000,62.2000,10.1000,9.3000,9.4000,110.7000
%http://www.basketball-reference.com/boxscores/201812170HOU.html
Utah Jazz at Houston Rockets, December 17, 2018,regularSeason,97-102,A,104.0,0.5070,0.4510,0.4270,0.2805,26.8000,82.0000,57.1000,71.9000,8.7000,8.2000,19.4000,93.2000,MAN,104.0,0.5120,0.4420,0.4300,0.3023,18.0000,73.2000,42.9000,50.0000,12.5000,14.9000,14.6000,98.1000
%http://www.basketball-reference.com/boxscores/201812170LAC.html
Portland Trail Blazers at Los Angeles Clippers, December 17, 2018,regularSeason,131-127,A,100.4,0.6570,0.6050,0.2330,0.3140,17.1000,77.1000,47.1000,55.3000,5.0000,7.1000,9.9000,130.5000,MAN,100.4,0.6340,0.5660,0.3250,0.3976,22.9000,82.9000,52.9000,64.3000,5.0000,1.5000,9.1000,126.5000
%http://www.basketball-reference.com/boxscores/201812170MIN.html
Sacramento Kings at Minnesota Timberwolves, December 17, 2018,regularSeason,105-132,A,106.9,0.5240,0.5000,0.4220,0.1667,11.3000,74.4000,39.6000,52.6000,4.7000,5.8000,13.0000,98.2000,MAN,106.9,0.6040,0.5520,0.2810,0.2708,25.6000,88.7000,60.4000,77.1000,9.4000,13.5000,9.2000,123.5000
%http://www.basketball-reference.com/boxscores/201812170NYK.html
Phoenix Suns at New York Knicks, December 17, 2018,regularSeason,128-110,A,104.2,0.6160,0.5710,0.2930,0.2500,10.5000,71.4000,46.8000,56.3000,7.7000,7.8000,6.3000,122.8000,MAN,104.2,0.4920,0.4490,0.3540,0.2121,28.6000,89.5000,53.2000,37.5000,4.8000,0.0000,9.0000,105.6000
%http://www.basketball-reference.com/boxscores/201812170OKC.html
Chicago Bulls at Oklahoma City Thunder, December 17, 2018,regularSeason,96-121,A,101.2,0.5220,0.4940,0.2590,0.1412,28.9000,62.2000,45.6000,52.6000,9.9000,10.3000,20.0000,94.8000,MAN,101.2,0.5840,0.5280,0.2360,0.3034,37.8000,71.1000,54.4000,55.8000,13.8000,3.2000,15.5000,119.5000
%http://www.basketball-reference.com/boxscores/201812170SAS.html
Philadelphia 76ers at San Antonio Spurs, December 17, 2018,regularSeason,96-123,A,95.8,0.4750,0.4640,0.3780,0.0510,22.6000,87.9000,47.7000,72.5000,3.1000,7.8000,9.0000,100.2000,MAN,95.8,0.6510,0.6150,0.2640,0.1839,12.1000,77.4000,52.3000,57.1000,5.2000,14.8000,6.0000,128.4000
%http://www.basketball-reference.com/boxscores/201812180ATL.html
Washington Wizards at Atlanta Hawks, December 18, 2018,regularSeason,110-118,A,102.8,0.5560,0.5120,0.4820,0.3012,20.0000,68.3000,43.0000,72.2000,13.6000,2.1000,13.2000,107.0000,MAN,102.8,0.6140,0.5440,0.4050,0.4051,31.7000,80.0000,57.0000,62.2000,3.9000,11.6000,19.3000,114.7000
%http://www.basketball-reference.com/boxscores/201812180BRK.html
Los Angeles Lakers at Brooklyn Nets, December 18, 2018,regularSeason,110-115,A,104.4,0.5490,0.5390,0.4440,0.1444,18.2000,90.9000,54.5000,50.0000,5.7000,7.0000,12.3000,105.3000,MAN,104.4,0.5790,0.5600,0.3740,0.1429,9.1000,81.8000,45.5000,61.4000,4.8000,8.0000,10.0000,110.1000
%http://www.basketball-reference.com/boxscores/201812180DEN.html
Dallas Mavericks at Denver Nuggets, December 18, 2018,regularSeason,118-126,A,98.9,0.5950,0.5520,0.4300,0.2674,14.6000,69.2000,41.3000,65.0000,8.1000,1.6000,7.5000,119.3000,MAN,98.9,0.6430,0.6220,0.3220,0.1556,30.8000,85.4000,58.8000,66.0000,7.1000,6.1000,13.3000,127.4000
%http://www.basketball-reference.com/boxscores/201812180IND.html
Cleveland Cavaliers at Indiana Pacers, December 18, 2018,regularSeason,92-91,A,93.1,0.4760,0.4510,0.3410,0.1099,24.0000,73.6000,49.5000,50.0000,7.5000,7.0000,8.5000,98.8000,MAN,93.1,0.4450,0.4190,0.2370,0.1398,26.4000,76.0000,50.5000,56.8000,7.5000,15.0000,8.1000,97.8000
%http://www.basketball-reference.com/boxscores/201812190BOS.html
Phoenix Suns at Boston Celtics, December 19, 2018,regularSeason,111-103,A,96.4,0.5250,0.4840,0.2810,0.1875,42.9000,79.5000,60.2000,56.1000,8.3000,13.0000,13.9000,115.1000,MAN,96.4,0.5650,0.5350,0.4590,0.1412,20.5000,57.1000,39.8000,68.4000,13.5000,21.7000,14.9000,106.8000
%http://www.basketball-reference.com/boxscores/201812190CHI.html
Brooklyn Nets at Chicago Bulls, December 19, 2018,regularSeason,96-93,A,90.7,0.5650,0.5140,0.3380,0.2703,18.9000,80.9000,53.6000,67.6000,3.3000,2.8000,13.3000,105.8000,MAN,90.7,0.4870,0.4730,0.2090,0.0769,19.1000,81.1000,46.4000,52.5000,7.7000,10.2000,7.7000,102.5000
%http://www.basketball-reference.com/boxscores/201812190CHO.html
